                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                0.65748,                0.37771,                 1.0006,                0.99796,                0.99757,                  0.995,                0.80079,                0.77018,                0.32301,                 1.0467,              0.0011884,              0.0011884,              0.0011884
                     89,                0.69731,                0.40423,                 1.0089,                0.99789,                0.99638,                0.99499,                0.80323,                0.77794,                0.32471,                 1.0595,              0.0011829,              0.0011829,              0.0011829
                     90,                0.64996,                0.38283,                0.99313,                0.99758,                0.99547,                0.99498,                0.81484,                0.79009,                0.33095,                 1.0751,              0.0011774,              0.0011774,              0.0011774
                     91,                 0.6293,                0.37289,                0.97306,                0.99709,                0.99619,                0.99499,                0.81211,                0.76349,                0.30479,                 1.0458,              0.0011719,              0.0011719,              0.0011719
                     92,                0.61039,                0.37187,                0.96851,                 0.9986,                0.99737,                0.99499,                0.81166,                0.75554,                0.30929,                 1.0369,              0.0011664,              0.0011664,              0.0011664
                     93,                0.65673,                0.39185,                 0.9914,                0.99321,                0.99422,                0.99494,                0.80288,                0.76226,                0.32228,                 1.0491,              0.0011609,              0.0011609,              0.0011609
                     94,                0.61322,                 0.3681,                0.97679,                0.99493,                0.99374,                0.99494,                0.82088,                0.74325,                0.31747,                 1.0245,              0.0011554,              0.0011554,              0.0011554
                     95,                0.63558,                0.39344,                0.99535,                0.99729,                0.99798,                0.99493,                0.82544,                 0.7261,                0.29867,                 1.0226,              0.0011499,              0.0011499,              0.0011499
                     96,                0.62819,                0.37142,                0.98544,                0.99723,                0.99223,                0.99477,                0.80505,                0.74291,                0.30944,                 1.0465,              0.0011444,              0.0011444,              0.0011444
                     97,                0.61547,                0.37957,                0.97871,                0.99359,                0.99618,                0.99431,                0.81108,                0.77072,                0.31267,                 1.0559,              0.0011389,              0.0011389,              0.0011389
                     98,                0.63071,                0.37594,                0.98985,                0.99869,                0.99765,                0.99499,                0.82034,                0.75043,                0.30508,                 1.0311,              0.0011334,              0.0011334,              0.0011334
                     99,                0.61385,                0.35918,                0.97204,                0.99623,                0.99671,                0.99498,                  0.801,                0.76461,                0.30878,                 1.0383,              0.0011279,              0.0011279,              0.0011279
                    100,                0.62794,                0.37201,                0.97219,                0.99868,                0.99819,                  0.995,                0.79162,                0.78508,                0.31436,                 1.0527,              0.0011224,              0.0011224,              0.0011224
                    101,                0.62248,                0.34935,                0.98544,                0.99743,                0.99381,                0.99498,                0.81794,                0.72431,                0.28985,                 1.0223,              0.0011169,              0.0011169,              0.0011169
                    102,                0.60211,                0.35027,                0.95492,                0.99259,                0.99565,                0.99495,                0.82513,                0.73741,                0.30933,                  1.038,              0.0011114,              0.0011114,              0.0011114
                    103,                0.61468,                0.36545,                0.97132,                0.99637,                0.99586,                0.99495,                0.82255,                0.73746,                0.30704,                 1.0385,              0.0011059,              0.0011059,              0.0011059
                    104,                0.62691,                 0.3704,                0.97983,                0.99909,                0.99568,                0.99495,                0.82224,                0.75437,                0.30372,                 1.0526,              0.0011004,              0.0011004,              0.0011004
                    105,                0.58977,                0.35102,                0.96926,                0.99666,                0.99376,                0.99499,                0.82684,                0.74322,                0.30304,                 1.0352,              0.0010949,              0.0010949,              0.0010949
                    106,                0.59033,                0.35533,                0.96957,                0.99821,                0.98946,                0.99499,                0.83481,                0.72733,                0.28729,                 1.0283,              0.0010894,              0.0010894,              0.0010894
                    107,                0.58856,                0.33963,                0.96855,                0.99847,                0.99113,                0.99499,                0.82291,                 0.7511,                0.31333,                 1.0458,              0.0010839,              0.0010839,              0.0010839
                    108,                0.60084,                 0.3535,                0.98627,                 0.9961,                0.99104,                0.99487,                0.83364,                0.72978,                0.29309,                 1.0366,              0.0010784,              0.0010784,              0.0010784
                    109,                0.61599,                0.36174,                0.98758,                0.99383,                0.99286,                0.99485,                0.82756,                0.73305,                0.29576,                 1.0409,              0.0010729,              0.0010729,              0.0010729
                    110,                0.60724,                0.34915,                0.95375,                0.99627,                0.99376,                0.99358,                0.81302,                0.73752,                0.29209,                 1.0363,              0.0010674,              0.0010674,              0.0010674
                    111,                0.60746,                0.35364,                0.99203,                0.99687,                0.99614,                0.99463,                0.83139,                0.72619,                0.29701,                 1.0263,              0.0010619,              0.0010619,              0.0010619
                    112,                0.56388,                0.33648,                0.94475,                0.99462,                0.99713,                 0.9947,                0.82767,                0.72566,                0.29548,                 1.0266,              0.0010564,              0.0010564,              0.0010564
                    113,                0.57229,                 0.3326,                0.96982,                0.99652,                0.99094,                0.99493,                0.83415,                 0.7266,                0.29466,                 1.0241,              0.0010509,              0.0010509,              0.0010509
                    114,                0.58271,                0.35942,                0.96091,                 0.9934,                0.99244,                0.99495,                0.82374,                 0.7377,                0.30329,                 1.0279,              0.0010454,              0.0010454,              0.0010454
                    115,                0.60179,                0.35724,                0.97097,                0.99559,                0.99763,                0.99498,                0.81437,                0.72913,                0.29482,                 1.0267,              0.0010399,              0.0010399,              0.0010399
                    116,                0.61236,                0.35861,                 0.9771,                0.99595,                0.99534,                0.99496,                0.81177,                0.72624,                 0.2913,                 1.0294,              0.0010344,              0.0010344,              0.0010344
                    117,                0.62031,                0.35614,                0.97878,                0.99482,                0.99254,                0.99494,                0.81747,                0.72726,                0.29489,                 1.0303,              0.0010289,              0.0010289,              0.0010289
                    118,                0.59075,                 0.3453,                0.97232,                0.99723,                0.99819,                0.99497,                0.82673,                0.72294,                0.28751,                 1.0282,              0.0010234,              0.0010234,              0.0010234
                    119,                0.58469,                0.34776,                0.97307,                0.99689,                0.99775,                0.99489,                0.81698,                  0.779,                0.29919,                   1.06,              0.0010179,              0.0010179,              0.0010179
                    120,                 0.6043,                0.35973,                0.97549,                0.99397,                0.99819,                0.99496,                0.82353,                0.75652,                0.30048,                 1.0596,              0.0010124,              0.0010124,              0.0010124
                    121,                0.58443,                0.34195,                0.96488,                  0.993,                0.99678,                0.99482,                0.82107,                0.77001,                0.30222,                 1.0618,              0.0010069,              0.0010069,              0.0010069
                    122,                0.59254,                0.34034,                0.96811,                0.99249,                0.99379,                0.99403,                0.82607,                0.73344,                0.28719,                 1.0405,              0.0010014,              0.0010014,              0.0010014
                    123,                0.58601,                0.34656,                0.95564,                0.99575,                0.99613,                0.99495,                0.83671,                0.73167,                0.28675,                  1.039,             0.00099587,             0.00099587,             0.00099587
                    124,                0.57695,                 0.3472,                 0.9551,                0.99809,                0.99624,                0.99496,                 0.8306,                 0.7274,                0.28538,                 1.0372,             0.00099036,             0.00099036,             0.00099036
                    125,                0.59269,                0.34821,                0.97651,                0.99522,                0.99647,                0.99485,                0.81478,                0.74893,                0.29602,                 1.0462,             0.00098486,             0.00098486,             0.00098486
